group,model,subject,bic
15,y-aim-scale-two-state-non-neg,17,-429.72014396891825
15,error-scale-two-state,18,-420.8449093423484
15,retention-scale-two-state,18,-447.8807241073947
15,bias-scale-two-state,18,-446.28460069896823
15,x-aim-scale-two-state,18,-457.48670146406755
15,y-aim-scale-two-state,18,-457.51523846789496
15,error-scale-one-state,18,-97.11294092634375
15,retention-scale-one-state,18,-85.45899698673847
15,bias-scale-one-state,18,-301.58684627646915
15,x-aim-scale-one-state,18,-324.0093040286522
15,y-aim-scale-one-state,18,-323.98520793105837
15,error-scale-two-state-non-neg,18,-410.11865799984383
15,retention-scale-two-state-non-neg,18,-435.00670883423675
15,bias-scale-two-state-non-neg,18,-437.81616212101164
15,x-aim-scale-two-state-non-neg,18,-423.98038920518275
15,y-aim-scale-two-state-non-neg,18,-425.8704914244008
15,error-scale-two-state,19,-396.2325678520162
15,retention-scale-two-state,19,-449.5305890798362
15,bias-scale-two-state,19,-453.5125704108639
15,x-aim-scale-two-state,19,-450.9414669253613
15,y-aim-scale-two-state,19,-450.9375785226284
15,error-scale-one-state,19,-65.28511702171355
15,retention-scale-one-state,19,-57.129040021500145
15,bias-scale-one-state,19,-285.0682919998832
15,x-aim-scale-one-state,19,-317.664470963
15,y-aim-scale-one-state,19,-317.63980151670825
15,error-scale-two-state-non-neg,19,-397.80389201293065
15,retention-scale-two-state-non-neg,19,-435.6054382050702
15,bias-scale-two-state-non-neg,19,-442.1672653676276
15,x-aim-scale-two-state-non-neg,19,-413.3107668782121
15,y-aim-scale-two-state-non-neg,19,-413.3533875592009
15,error-scale-two-state,20,-405.7138131791914
15,retention-scale-two-state,20,-454.10040442859315
15,bias-scale-two-state,20,-456.38047092835154
15,x-aim-scale-two-state,20,-451.33126313603907
15,y-aim-scale-two-state,20,-451.3483625319275
15,error-scale-one-state,20,-81.48755272275375
15,retention-scale-one-state,20,-72.25824351645934
15,bias-scale-one-state,20,-298.4728481755949
15,x-aim-scale-one-state,20,-327.0230557529714
15,y-aim-scale-one-state,20,-326.9354979367988
15,error-scale-two-state-non-neg,20,-390.4111914459755
15,retention-scale-two-state-non-neg,20,-383.27483254475464
15,bias-scale-two-state-non-neg,20,-448.5850312142105
15,x-aim-scale-two-state-non-neg,20,-426.29531975223483
15,y-aim-scale-two-state-non-neg,20,-430.02791398855743
19,error-scale-two-state,1,-341.4806386207697
19,retention-scale-two-state,1,-381.42646957336717
19,bias-scale-two-state,1,-371.0586512989566
19,x-aim-scale-two-state,1,-395.46742816943413
19,y-aim-scale-two-state,1,-395.52773880016525
19,error-scale-one-state,1,-40.134692729944064
19,retention-scale-one-state,1,-31.06786475307368
19,bias-scale-one-state,1,-133.6644795769311
19,x-aim-scale-one-state,1,-151.41560151399102
19,y-aim-scale-one-state,1,-151.260325547293
19,error-scale-two-state-non-neg,1,-330.0338359217094
19,retention-scale-two-state-non-neg,1,-359.93379288139386
