GROUP,SUBJECT,PHASE,HAND,TRIAL,TRIAL_ABS,TARGET,ROT,SIG_MP,SIG_EP,DIR,HA_INIT,HA_MID,HA_END
16,1,Adaptation,RH,104,164,0,-23,3,3,CCW,24.68181126,24.57290548,20.99021739
16,1,Adaptation,RH,105,165,0,-26,1,3,CCW,27.92041365,27.98111781,25.36995613
16,1,Adaptation,RH,106,166,0,-22,3,1,CCW,22.66834267,22.54827736,20.20183653
16,1,Adaptation,RH,107,167,0,-37,3,3,CCW,31.50302044,31.60101351,35.63451804
16,1,Adaptation,RH,108,168,0,-31,3,3,CCW,26.42621213,26.57408475,29.10961248
16,1,Adaptation,RH,109,169,0,-32,1,3,CCW,22.95172592,23.29410347,31.63385867
16,1,Adaptation,RH,110,170,0,-31,1,3,CCW,22.6795079,22.6406832,33.23476717
16,1,Adaptation,RH,111,171,0,-34,3,1,CCW,24.76325918,24.33558812,30.81570031
16,1,Adaptation,RH,112,172,0,-36,1,3,CCW,31.20135561,31.03343786,37.45893025
16,1,Adaptation,RH,113,173,0,-28,3,3,CCW,27.75461661,28.02553548,28.32968637
16,1,Adaptation,RH,114,174,0,-26,1,1,CCW,26.10283082,25.88839976,22.967495
16,1,Adaptation,RH,115,175,0,-34,1,3,CCW,28.31834347,28.51053425,31.31670969
16,1,Adaptation,RH,116,176,0,-39,3,3,CCW,25.29418023,25.31899019,32.60579782
16,1,Adaptation,RH,117,177,0,-29,3,3,CCW,20.51532879,20.80266811,30.14930852
16,1,Adaptation,RH,118,178,0,-27,3,1,CCW,25.11898516,24.72680516,25.61620772
16,1,Adaptation,RH,119,179,0,-31,1,3,CCW,33.13624242,33.09670278,30.92677683
16,1,Adaptation,RH,120,180,0,-26,1,1,CCW,27.22931046,26.98774136,24.05658106
16,1,Adaptation,RH,121,181,0,-27,1,1,CCW,31.52896837,32.11056998,28.51711428
16,1,Adaptation,RH,122,182,0,-33,1,1,CCW,29.99341342,30.1584572,33.94069898
16,1,Adaptation,RH,123,183,0,-29,1,3,CCW,28.14511301,28.42090741,26.61867538
16,1,Adaptation,RH,124,184,0,-32,3,1,CCW,30.69219759,30.48056153,30.55798677
16,1,Adaptation,RH,125,185,0,-28,1,1,CCW,32.42810977,32.33438665,28.92407219
16,1,Adaptation,RH,126,186,0,-32,1,3,CCW,32.69990272,32.64540884,28.29772873
16,1,Adaptation,RH,127,187,0,-31,1,1,CCW,24.36084414,24.58052907,31.56995988
16,1,Adaptation,RH,128,188,0,-32,1,3,CCW,29.33997886,29.28440447,32.73484365
16,1,Adaptation,RH,129,189,0,-35,3,3,CCW,27.32795191,27.4682602,32.15517044
16,1,Adaptation,RH,130,190,0,-34,1,1,CCW,24.12041764,23.71005438,32.47671207
16,1,Adaptation,RH,131,191,0,-24,3,1,CCW,29.68911624,29.61834624,26.18033754
16,1,Adaptation,RH,132,192,0,-37,1,3,CCW,27.81325419,27.64853688,34.37717468
16,1,Adaptation,RH,133,193,0,-25,1,3,CCW,28.89428346,28.57887205,25.96199615
16,1,Adaptation,RH,134,194,0,-23,1,3,CCW,23.84889653,23.95049146,25.20398474
16,1,Adaptation,RH,135,195,0,-34,1,3,CCW,22.76896242,22.82535923,36.21653274
16,1,Adaptation,RH,136,196,0,-27,1,1,CCW,24.77223731,24.77893329,26.98309095
16,1,Adaptation,RH,137,197,0,-22,1,1,CCW,29.71190707,29.44517148,20.66534899
16,1,Adaptation,RH,138,198,0,-30,3,1,CCW,30.47238058,30.69787904,31.56836224
16,1,Adaptation,RH,139,199,0,-37,3,1,CCW,37.47510322,37.54513911,34.62773343
16,1,Adaptation,RH,140,200,0,-34,3,3,CCW,28.88193822,28.82212501,32.26569761
